ID,OBS
"643",0
"644",0
"645",0
"646",0
"647",0
"648",0
"649",0
"650",0
"651",0
"652",0
"653",0
"654",0
"655",0
"656",0
"657",0
"658",0
"659",0
"660",0
"661",0
"662",0
"663",0
"664",0
"665",0
"666",0
"667",0
"668",0
"669",2
"670",2
"671",3
"672",2
"673",3
"674",1
"675",1
"676",2
"677",11
"678",1
"679",5
"680",8
"681",8
"682",3
"683",6
"684",5
"685",5
"686",7
"687",0
"688",3
"689",4
"690",1
"691",2
"692",7
"693",3
"694",5
"695",4
"696",0
"697",0
"698",1
"699",6
"700",4
"701",4
"702",3
"703",2
"704",0
"705",0
"706",0
"707",0
"708",0
"709",0
"710",0
"711",2
"712",0
"713",1
"714",5
"715",3
"716",0
"717",1
"718",0
"719",0
"720",0
"721",2
"722",2
"723",4
"724",6
"725",4
"726",0
"727",4
"728",4
"729",5
"730",5
"731",4
"732",4
"733",3
"734",2
"735",2
"736",3
"738",0
"739",0
"740",0
"741",2
"742",3
"743",4
"744",5
"745",4
"746",3
"747",4
"748",3
"749",1
"750",0
"751",3
"752",4
"753",0
"754",4
"755",6
"756",0
"757",0
"758",7
"759",9
"760",7
"761",8
"762",8
"763",7
"764",8
"765",7
"766",1
"767",0
"768",0
"769",1
"770",0
"771",0
"772",0
"773",0
"774",4
"775",3
"776",0
"777",1
"778",4
"779",1
"780",1
"781",0
"782",5
"783",2
"784",4
"785",3
"786",3
"787",6
"788",6
"789",0
"790",0
"791",0
"792",0
"793",0
"794",0
"795",1
"796",0
"797",0
"798",1
"799",0
"800",0
"801",2
"802",2
"803",2
"804",2
"805",0
"806",0
"807",0
"808",0
"809",0
"810",1
"811",0
"812",0
"813",1
"814",0
"815",0
"816",0
"817",0
"818",0
"819",0
"820",8
"821",1
"822",0
"823",0
"824",0
"825",0
"826",0
"827",0
"828",0
"829",0
"830",0
"831",0
"832",2
"833",1
"834",0
"835",0
"836",0
"837",0
"838",0
"839",0
"840",0
"841",0
"842",0
"843",0
"844",0
"845",0
"846",0
"847",0
"848",0
"849",0
"850",0
"851",0
"852",0
"853",0
"854",0
"855",2
"856",2
"857",0
"858",0
"859",0
"860",0
"861",0
"862",0
"863",0
"864",0
"865",0
"866",0
"867",0
"868",0
"869",0
"870",0
"871",0
"872",0
"873",0
"874",0
"875",0
"876",0
"877",0
"878",0
"879",0
"880",0
"881",0
"882",0
"883",0
"884",0
"885",0
"886",0
"887",6
"888",2
"889",1
"890",2
"891",1
"892",4
"893",5
"894",2
"895",1
"896",0
"897",0
"898",0
"899",0
"900",0
"901",0
"902",0
"903",0
"904",0
"905",0
"906",0
"907",0
"908",0
"909",0
"910",0
"911",0
"912",0
"913",0
"914",0
"915",0
"916",0
"917",0
"918",0
"919",0
"920",0
"921",0
"922",0
"923",0
"924",0
"925",0
"926",0
"927",0
"928",0
"929",0
"930",0
"931",0
"932",6
"933",2
"934",5
"935",3
"936",0
"937",0
"938",3
"939",3
"940",0
"941",0
"942",0
"943",0
"944",0
"945",4
"946",0
"947",2
"948",6
"949",0
"950",0
"951",2
"952",1
"953",2
"954",2
"955",0
"956",0
"957",2
"958",2
"959",1
"960",0
"961",1
"962",1
"963",0
"964",0
"965",0
"966",0
"967",0
"968",0
"969",0
"970",0
"971",0
"972",0
"973",0
"974",0
"975",0
"976",0
"977",0
"978",0
"979",0
"980",0
"981",0
"982",0
"983",0
"984",0
"985",0
"986",0
"987",0
"988",0
"989",0
"990",0
"991",0
"992",0
"993",0
"995",0
"996",0
"997",0
"998",0
"999",0
"1000",0
"1001",0
"1002",0
"1003",0
"1004",0
"1005",0
"1006",0
"1007",0
"1008",0
"1009",0
"1010",0
"1011",1
"1012",0
"1013",0
"1014",0
"1015",0
"1016",0
"1017",0
"1018",0
"1019",0
"1020",0
"1021",0
"1022",0
"1023",0
"1024",0
"1025",0
"1026",0
"1027",1
"1028",0
"1029",1
"1030",0
"1031",0
"1032",0
"1033",0
"1034",0
"1035",0
"1036",0
"1037",0
"1038",0
"1039",0
"1040",0
"1041",0
"1042",0
"1043",0
"1044",0
"1045",0
"1046",0
"1047",0
"1048",0
"1049",0
"1050",0
"1051",0
"1052",0
"1053",0
"1054",0
"1055",0
"1056",0
"1057",0
"1058",0
"1059",0
"1060",0
"1061",0
"1062",0
"1063",0
"1064",0
"1065",0
"1066",0
"1068",0
"1069",0
"1070",0
"1071",0
"1072",0
"1073",0
"1074",0
"1075",0
"1076",0
"1077",0
"1078",0
"1079",0
"1080",0
"1081",0
"1082",0
"1083",0
"1084",0
"1085",0
"1086",0
"1087",0
"1088",0
"1089",0
"1090",0
"1091",0
"1092",0
"1093",0
"1094",0
"1095",0
"1096",0
"1097",0
"1098",0
"1099",0
"1100",0
"1101",0
"1102",0
"1103",0
"1104",0
"1105",0
"1106",0
"1107",0
"1108",0
"1109",0
"1110",0
"1111",0
"1112",0
"1113",0
"1114",0
"1115",0
"1116",0
"1117",0
"1118",0
"1119",0
"1120",0
"1121",0
"1122",0
"1123",0
"1124",0
"1125",0
"1126",0
"1127",0
"1129",0
"1130",0
"1132",0
"1133",0
"1134",0
"1135",0
"1136",0
"1137",0
"1138",0
"1139",0
"1140",0
"1141",0
"1142",0
"1143",0
"1144",0
"1145",0
"1146",0
"1147",0
"1148",0
"1149",0
"1150",0
"1151",0
"1152",0
"1153",0
"1154",0
"1155",0
"1156",0
"1157",0
"1158",0
"1159",0
"1160",0
"1161",0
"1162",0
"1163",0
"1164",0
"1165",0
"1166",0
"1167",0
"1168",0
"1169",0
"1170",0
"1171",0
"1172",0
"1173",0
"1174",0
"1175",0
"1176",0
"1177",0
"1178",0
"1179",0
"1180",0
"1181",0
"1182",0
"1183",0
"1184",0
"1185",0
"1186",0
"1187",0
"1188",0
"1189",0
"1190",0
"1191",0
"1192",0
"1193",0
"1194",0
"1195",0
"1196",0
"1197",0
"1198",0
"1199",0
"1200",0
"1201",0
"1202",0
"1203",0
"1204",0
"1205",0
"1206",0
"1207",0
"1208",0
"1209",0
"1210",0
"1211",0
"1212",0
"1213",2
"1214",0
"1215",0
"1216",0
"1217",0
"1218",0
"1219",0
"1220",0
"1221",0
"1222",0
"1223",0
"1224",0
"1225",0
"1226",0
"1227",0
"1228",0
"1229",0
"1230",0
"1231",0
"1232",0
"1233",0
"1234",0
"1235",0
"1236",0
"1237",0
"1238",0
